No.,応援の言葉
112,今は耐える時期、それでいい
113,今日の積み重ねは消えない
114,迷っても、進んでる
115,今日もやめなかった
116,今の自分を信じていい
117,今日の努力はちゃんと残る
118,焦らなくて大丈夫
119,今はこのペースでいい
120,今日も十分、頑張った
121,続けている自分を誇っていい
122,今日の時間はちゃんと意味がある
123,今は苦しくて当たり前
124,今日も踏ん張れた
125,進まない日も必要
126,今日も向き合った
127,今の努力は裏切らない
128,今日も前進してる
129,無理しなくていい
130,今日の自分に合格
131,今日も論文に向き合っている時点で、本当にすごい
132,進みが遅く感じるのは、ちゃんと考えて書いている証拠
133,書けない時間も、論文の一部だよ
134,今つらいのは、手を抜いていないから
135,完璧じゃなくても、論文は前に進む
136,今日1文でも書けたなら、それは立派な成果
137,迷いながら書いている論文は、ちゃんと深くなる
138,今の苦しさは、後で必ず「書いてよかった」に変わる
139,書けない日があっても、やめてないのが一番大事
140,論文と向き合う時間を積み重ねている自分を軽く見ないで
141,今は完成が見えなくても、ちゃんと近づいてる
142,不安になるほど、真剣に研究しているということ
143,論文が進まない日も、思考は進んでいる
144,今日ここまで来たのは、あなたの努力そのもの
145,書き続けている限り、論文は必ず終わる
146,論文が重いのは、それだけ中身があるから
147,今の一行は、未来の章につながってる
148,苦しみながら書いた部分ほど、後で強くなる
149,今日の試行錯誤は、全部論文の栄養
150,論文を書いているあなたは、ちゃんと研究者してる
151,書き直しが多いのは、質を上げている証拠
152,今は自信がなくても、論文は形になる
153,今日は悩んだ、それも前進
154,論文に向き合っている時間は、無駄にならない
155,書けない自分を責めなくていい
156,ここまで積み上げた文章は消えない
157,論文を書き続けている事実が、何より強い
158,今日も論文から逃げなかった、それで十分
159,迷っているのは、より良い論文にしようとしているから
160,今の努力は、必ず査読や審査を越える力になる
161,論文は苦しいもの、それをやってるあなたがすごい
162,今日の一歩は小さくても、論文は前進してる
163,論文に向き合う姿勢は、もう立派な成果
164,今の不安は、真剣に書いている証
165,書き直しは、論文が育っているサイン
166,今日も論文を考えた、それで合格
167,今は苦しくて当たり前、みんな通る道
168,論文を書いている自分を、もっと誇っていい
169,今日は進まなくても、やめなかった
170,論文は、ちゃんと書いてる人の味方
171,今の文章は、後で必ず意味を持つ
172,論文が進まない日は、考察が深まる日
173,今日の悩みは、明日の論文を助ける
174,書き続けている限り、論文は裏切らない
175,論文と向き合っている今が、一番しんどいだけ
176,ここまで来た自分を、ちゃんと認めていい
177,論文を書いている時間は、研究者としての財産
178,今は出口が見えなくても、必ず抜ける
179,今日の一文が、論文全体を支える
180,論文を書いているあなたは、間違いなく頑張ってる
181,今は論文が終わる気がしなくても、書き続けた人だけが「終わった」と言える日が来る
182,書けなくて苦しいのは、論文を真面目に書いている証拠だよ
183,今日進まなかった分も、論文を書くために必要な時間だった
184,論文に向き合って悩んでいる今のあなたは、ちゃんと研究者の顔をしてる
185,完璧じゃない文章を出し続けた人だけが、完成にたどり着く
186,今の苦しさは、論文を書いた人にしか分からない価値になる
187,書いては消してを繰り返すのは、論文が良くなっている証
188,論文は一気に仕上げるものじゃない、積み重ねでできていく
189,今は自信がなくても、提出した瞬間にちゃんと形になる
190,論文に向き合っている時間そのものが、あなたを強くしている
191,今日の迷いは、論文の厚みになる
192,書けない日があるのは、考えが深くなっているから
193,論文を書いている今が、一番しんどくて、一番価値がある
194,今はつらくても、書き切った自分を必ず誇れる日が来る
195,論文は、逃げなかった人にだけ完成をくれる
196,今日も論文と向き合った、その事実だけで十分
197,書き続けている限り、論文は必ず終わる
198,今の文章は未完成でも、確実に論文の一部
199,論文に費やした時間は、全部あなたの力になる
200,ここまで書いてきたあなたは、もう十分やってる
201,今は苦しいけど、論文を書いた経験は一生残る
202,書けない時間も含めて、論文執筆
203,論文を書いている今のあなたは、ちゃんと前に進んでる
204,今日は進まなくても、論文から目を逸らさなかった
205,論文が重いのは、それだけ本気だから
206,今の不安は、論文が良くなる前触れ
207,書き直しを恐れない姿勢が、論文を強くする
208,論文は、書き続けた人の味方
209,今日の悩みは、論文の説得力になる
210,論文を書いているあなたは、間違いなく頑張ってる
211,今は出口が見えなくても、書いた分だけ近づいてる
212,論文を書いた経験は、何にも代えがたい
213,今日の一行が、論文全体を支える
214,論文は、途中で苦しくなるのが普通
215,書き続けてきた時間は、もう消えない
216,今の苦労は、必ず論文に現れる
217,論文を書いている自分を、もっと信じていい
218,今日も論文を考えた、それだけで前進
219,書けない日も含めて、あな
